kin pot x y z vx vy vz
2.338e-05 -3.67214e-05 -0.801262 6.23214 0 0.991835 0.127844 0
2.33801e-05 -3.67214e-05 -0.805178 6.23163 0 0.991755 0.128467 0
2.33801e-05 -3.67214e-05 -0.809093 6.23113 0 0.991674 0.129091 0
2.33801e-05 -3.67214e-05 -0.813009 6.23062 0 0.991593 0.129714 0
2.33801e-05 -3.67214e-05 -0.816923 6.23011 0 0.991511 0.130337 0
2.33801e-05 -3.67214e-05 -0.820838 6.2296 0 0.991429 0.13096 0
2.33801e-05 -3.67214e-05 -0.824752 6.22908 0 0.991347 0.131583 0
2.33801e-05 -3.67214e-05 -0.828665 6.22856 0 0.991264 0.132206 0
2.33801e-05 -3.67214e-05 -0.832579 6.22804 0 0.991181 0.132829 0
2.33801e-05 -3.67214e-05 -0.836492 6.22752 0 0.991098 0.133452 0
2.33801e-05 -3.67214e-05 -0.840405 6.22699 0 0.991014 0.134074 0
2.33801e-05 -3.67214e-05 -0.844317 6.22646 0 0.99093 0.134697 0
2.33802e-05 -3.67214e-05 -0.848229 6.22593 0 0.990845 0.13532 0
2.33802e-05 -3.67214e-05 -0.852141 6.2254 0 0.99076 0.135942 0
2.33802e-05 -3.67214e-05 -0.856052 6.22487 0 0.990675 0.136565 0
2.33802e-05 -3.67213e-05 -0.859964 6.22433 0 0.990589 0.137187 0
2.33802e-05 -3.67213e-05 -0.863874 6.22379 0 0.990503 0.13781 0
2.33802e-05 -3.67213e-05 -0.867785 6.22324 0 0.990416 0.138432 0
2.33802e-05 -3.67213e-05 -0.871695 6.2227 0 0.990329 0.139055 0
2.33802e-05 -3.67213e-05 -0.875604 6.22215 0 0.990242 0.139677 0
2.33802e-05 -3.67213e-05 -0.879514 6.2216 0 0.990154 0.140299 0
2.33802e-05 -3.67213e-05 -0.883423 6.22105 0 0.990066 0.140921 0
2.33802e-05 -3.67213e-05 -0.887331 6.22049 0 0.989977 0.141544 0
2.33802e-05 -3.67213e-05 -0.89124 6.21994 0 0.989888 0.142166 0
2.33803e-05 -3.67213e-05 -0.895148 6.21938 0 0.989799 0.142788 0
2.33803e-05 -3.67213e-05 -0.899055 6.21881 0 0.989709 0.14341 0
2.33803e-05 -3.67213e-05 -0.902963 6.21825 0 0.989619 0.144032 0
2.33803e-05 -3.67213e-05 -0.90687 6.21768 0 0.989529 0.144653 0
2.33803e-05 -3.67213e-05 -0.910776 6.21711 0 0.989438 0.145275 0
2.33803e-05 -3.67213e-05 -0.914682 6.21654 0 0.989347 0.145897 0
2.33803e-05 -3.67213e-05 -0.918588 6.21596 0 0.989255 0.146519 0
2.33803e-05 -3.67213e-05 -0.922493 6.21539 0 0.989163 0.14714 0
